ve,zc_n,hy_n
吉林省 吉林市 船营区,4152,2638
吉林省 通化市 柳河县,5643,3126
贵州省 黔南布依族苗族自治州 平塘县,933,872
吉林省 通化市 东昌区,2098,1334
河南省 郑州市 新密市,6161,4068
吉林省 松原市 前郭尔罗斯蒙古族自治县,13497,10204
山东省 青岛市 崂山区,3765,3087
吉林省 吉林市 昌邑区,7853,5209
河北省 邯郸市 峰峰矿区,4409,4301
暂无 暂无 暂无,30218,16205
山东省 青岛市 市南区,1163,1020
吉林省 四平市 铁西区,4699,2851
吉林省 延边朝鲜族自治州 汪清县,1010,651
河北省 承德市 兴隆县,1000,995
河北省 承德市 双桥区,3544,2770
吉林省 吉林市 蛟河市,4218,2499
吉林省 白山市 白山市直,982,542
吉林省 通化市 辉南县,3941,2133
吉林省 通化市 二道江区,272,145
吉林省 长春市 长春市市直,853,373
湖南省 长沙市 开福区,357,260
河北省 石家庄市 正定县,827,411
吉林省 延吉市 龙井市,238,177
天津市 市辖区 南开区,1,1
河北省 邯郸市 邯郸县,6,5
山东省 菏泽市 曹县,1,1
辽宁省 抚顺市 新宾满族自治县,1,0
山西省 阳泉市 郊区,1,1
广东省 湛江市 遂溪县,1,0
安徽省 合肥市 长丰县,4,0
河南省 平顶山市 新华区,2,0
陕西省 商洛市 洛南县,1,1
山东省 济南市 历下区,3,2
内蒙古自治区 呼和浩特市 土默特左旗,4,3
浙江省 台州市 仙居县,1,1
安徽省 淮南市 凤台县,1,1
上海市 市辖区 杨浦区,2,2
江苏省 苏州市 相城区,1,0
天津市 市辖区 河东区,1,1
湖北省 随州市 随县,1,1
山西省 晋中市 介休市,1,0
福建省 龙岩市 永定县,1,0
河北省 沧州市 黄骅市,1,0
新疆维吾尔自治区 昌吉回族自治州 昌吉市,1,0
江苏省 常州市 钟楼区,1,1
湖南省 邵阳市 洞口县,3,0
浙江省 湖州市 德清县,1,0
辽宁省 锦州市 太和区,1,0
辽宁省 营口市 大石桥市,1,1
宁夏回族自治区 固原市 原州区,1,1
四川省 成都市 龙泉驿区,1,1
河北省 石家庄市 行唐县,1,0
广东省 河源市 东源县,1,0
浙江省 杭州市 富阳市,2,1
江苏省 盐城市 响水县,1,0
辽宁省 鞍山市 台安县,1,1
北京市 市辖区 房山区,1,0
甘肃省 定西市 通渭县,1,0
湖南省 怀化市 溆浦县,1,0
河南省 信阳市 新县,1,0
湖南省 怀化市 芷江侗族自治县,1,1
广东省 汕尾市 陆河县,1,1
山西省 吕梁市 岚县,4266,3956
吉林省 吉林市 磐石市,6470,4268
山西省 吕梁市 交口县,4799,4289
吉林省 辽源市 东辽县,3416,2295
山东省 聊城市 东昌府区,1277,1218
河北省 邯郸市 复兴区,6419,6011
黑龙江省 牡丹江市 海林市,75,60
吉林省 辽源市 龙山区,2883,1979
河南省 新乡市 新乡县,1349,670
贵州省 安顺市 西秀区,518,295
吉林省 白山市 抚松县,3068,2095
湖南省 岳阳市 岳阳楼区,2963,2698
河北省 承德市 高新区,760,735
辽宁省 阜新市 阜新蒙古族自治县,159,71
河北省 石家庄市 鹿泉市,182,112
浙江省 丽水市 莲都区,166,59
江西省 九江市 修水县,1,1
江苏省 南京市 鼓楼区,4,3
浙江省 绍兴市 越城区,2,1
山西省 太原市 清徐县,41,3
辽宁省 沈阳市 沈河区,565,0
广西壮族自治区 南宁市 宾阳县,1,0
北京市 市辖区 西城区,20,7
河北省 秦皇岛市 海港区,1,0
广西壮族自治区 玉林市 玉州区,1,1
辽宁省 沈阳市 皇姑区,4,0
河南省 郑州市 市辖区,1,0
广东省 江门市 开平市,1,1
浙江省 嘉兴市 嘉善县,1,1
湖南省 岳阳市 华容县,2,0
河南省 安阳市 北关区,2,1
天津市 市辖区 和平区,15,10
辽宁省 盘锦市 大洼县,4,3
浙江省 嘉兴市 海盐县,1,1
山东省 东营市 东营区,1,1
山东省 德州市 夏津县,1,1
广西壮族自治区 南宁市 江南区,1,1
重庆市 县 云阳县,1,1
河北省 秦皇岛市 北戴河区,2,1
江西省 抚州市 临川区,1,0
山东省 临沂市 莒南县,2,1
江苏省 连云港市 海州区,1,0
河南省 周口市 沈丘县,1,0
浙江省 杭州市 萧山区,1,0
河南省 新乡市 卫滨区,2,1
山西省 长治市 长治县,1,0
上海市 县 崇明县,2,1
河北省 廊坊市 三河市,1,1
重庆市 市辖区 万州区,1,0
云南省 昆明市 五华区,1,0
安徽省 宿州市 灵璧县,2,1
陕西省 渭南市 潼关县,1,0
浙江省 宁波市 市辖区国家高新区,2,1
河南省 郑州市 登封市,1,0
广东省 佛山市 高明区,1,0
新疆维吾尔自治区 哈密地区 哈密市,1,1
上海市 市辖区 浦东新区,1,1
广西壮族自治区 来宾市 忻城县,1,0
山东省 济南市 历城区,1,1
重庆市 市辖区 北碚区,1,1
天津市 市辖区 北辰区,1,1
吉林省 通化市 梅河口市,6155,3624
河北省 邯郸市 鸡泽县,8513,8375
河南省 南阳市 卧龙区,8243,6614
吉林省 白城市 镇赉县,6427,3879
湖北省 武汉市 洪山区,476,453
河北省 保定市 望都县,1669,1234
吉林省 吉林市 舒兰市,7645,5306
河南省 南阳市 社旗县,5381,4083
吉林省 延吉市 敦化市,3212,2371
北京市 市辖区 顺义区,5564,3685
浙江省 杭州市 滨江区,884,649
山东省 青岛市 市北区,5268,3467
四川省 成都市 武侯区,826,779
黑龙江省 哈尔滨市 方正县,510,418
吉林省 吉林市 丰满区,1959,1444
辽宁省 本溪市 溪湖区,71,35
吉林省 白城市 洮南市,435,255
浙江省 杭州市 江干区,924,788
贵州省 安顺市 关岭布依族苗族自治县,339,183
河北省 石家庄市 裕华区,221,101
四川省 达州市 大竹县,1,1
北京市 市辖区 大兴区,49,4
江苏省 苏州市 常熟市,2,0
吉林省 延边朝鲜族自治州 图们市,5,3
广东省 深圳市 罗湖区,3,1
上海市 市辖区 闵行区,6,3
江苏省 南通市 通州区,20,10
湖南省 邵阳市 新宁县,2,0
福建省 泉州市 惠安县,2,0
广东省 梅州市 丰顺县,1,0
宁夏回族自治区 银川市 兴庆区,2,0
山东省 潍坊市 安丘市,2,0
江苏省 泰州市 泰兴市,1,0
浙江省 温州市 平阳县,1,0
四川省 攀枝花市 东区,1,1
江苏省 常州市 溧阳市,2,2
黑龙江省 哈尔滨市 双城市,1,1
四川省 雅安市 雨城区,1,0
福建省 厦门市 集美区,2,2
浙江省 宁波市 余姚市,3,2
河北省 廊坊市 固安县,1,1
云南省 红河哈尼族彝族自治州 个旧市,1,0
海南省 海口市 美兰区,1,1
广东省 湛江市 吴川市,1,1
安徽省 淮北市 相山区,2,2
福建省 厦门市 同安区,1,0
江苏省 徐州市 丰县,1,1
贵州省 黔东南苗族侗族自治州 黎平县,1,1
黑龙江省 哈尔滨市 尚志市,1,1
重庆市 县 巫溪县,1,0
山西省 晋中市 和顺县,1,1
福建省 漳州市 漳浦县,1,1
福建省 泉州市 鲤城区,1,0
湖南省 怀化市 沅陵县,1,0
安徽省 安庆市 怀宁县,1,1
湖北省 荆州市 沙市区,1,0
河南省 新乡市 牧野区,1,0
辽宁省 沈阳市 和平区,1,1
浙江省 宁波市 北仑区,1,0
福建省 泉州市 安溪县,1,0
山东省 泰安市 岱岳区,1,1
河南省 南阳市 唐河县,1,1
甘肃省 酒泉市 肃州区,20126,16172
河北省 邯郸市 广平县,10131,9811
吉林省 四平市 梨树县,6599,4580
湖北省 省直辖县级行政区划 仙桃市,1863,1792
河北省 邯郸市 大名县,7596,7189
吉林省 吉林市 吉林市直,4550,2879
吉林省 松原市 扶余县,9848,7075
江苏省 南京市 建邺区,670,642
河北省 石家庄市 长安区,319,247
广西壮族自治区 百色市 平果县,583,504
吉林省 白城市 通榆县,119,85
江苏省 南京市 秦淮区,1887,1780
湖北省 黄石市 大冶市,1310,955
浙江省 宁波市 鄞州区,1062,621
山东省 青岛市 西海岸新区,140,101
福建省 福州市 仓山区,58,44
重庆市 市辖区 江北区,162,106
北京市 市辖区 通州区,662,315
福建省 福州市 台江区,207,119
浙江省 绍兴市 诸暨市,33,18
吉林省 松原市 长岭县,15,7
河南省 郑州市 中原区,106,25
山西省 大同市 阳高县,1,1
广东省 珠海市 香洲区,3,2
广东省 深圳市 南山区,10,9
山东省 德州市 德城区,1,1
浙江省 杭州市 下城区,5,3
山东省 潍坊市 昌乐县,7,7
陕西省 安康市 白河县,1,0
陕西省 西安市 长安区,1,0
山西省 晋中市 榆次区,1,0
江苏省 苏州市 张家港市,3,1
广东省 肇庆市 高要市,1,0
湖北省 宜昌市 秭归县,2,1
河北省 石家庄市 井陉县,1,1
山东省 济南市 天桥区,1,1
广东省 佛山市 三水区,1,0
重庆市 县 秀山土家族苗族自治县,1,0
贵州省 安顺市 平坝县,2,1
福建省 莆田市 秀屿区,2,0
天津市 市辖区 河西区,3,1
湖南省 娄底市 娄星区,1,0
江苏省 连云港市 连云区,1,1
山西省 阳泉市 矿区,1,0
湖北省 荆门市 钟祥市,1,0
广东省 潮州市 湘桥区,1,1
浙江省 温州市 瓯海区,1,0
辽宁省 朝阳市 双塔区,2,0
山东省 聊城市 高唐县,1,0
浙江省 丽水市 景宁畲族自治县,1,0
黑龙江省 大庆市 龙凤区,1,0
安徽省 安庆市 岳西县,1,1
福建省 莆田市 涵江区,1,0
浙江省宁波市市辖区国家高新区实验学校国家高新区实验学校,1,0
河北省 唐山市 路南区,1,1
重庆市 市辖区 江津区,1,1
云南省 玉溪市 红塔区,1,0
河南省 漯河市 郾城区,1,1
安徽省 亳州市 涡阳县,1,1
广东省 汕头市 潮南区,1,1
陕西省 西安市 莲湖区,1,1
湖南省 常德市 武陵区,1,1
河南省 濮阳市 清丰县,1,0
湖南省 株洲市 荷塘区,1,0
山东省 青岛市 莱西市,10512,7978
广西壮族自治区 河池市 巴马瑶族自治县,5122,4358
吉林省 松原市 乾安县,6502,4127
甘肃省 酒泉市 金塔县,5143,3609
河北省 邯郸市 丛台区,10325,9533
江苏省 南通市 崇川区,2066,1368
河南省 焦作市 解放区,5372,4078
山西省 太原市 迎泽区,19863,13844
湖南省 长沙市 岳麓区,373,234
吉林省 白山市 江源区,2704,1729
云南省 昆明市 西山区,91,37
吉林省 延吉市 和龙市,1262,1067
河北省 保定市 高碑店市,276,211
吉林省 辽源市 西安区,244,145
河北省 石家庄市 新乐市,920,483
湖北省 黄石市 西塞山区,715,557
吉林省 延吉市 长白山管委会,300,139
河北省 石家庄市 井陉矿区,133,48
河北省 承德市 平泉县,7,7
福建省 南平市 浦城县,1,1
安徽省 宿州市 埇桥区,606,343
黑龙江省 哈尔滨市 南岗区,962,599
广西壮族自治区 南宁市 兴宁区,488,418
河北省 唐山市 开平区,38,22
黑龙江省 哈尔滨市 道里区,59,52
福建省 福州市 福清市,183,130
辽宁省 抚顺市 顺城区,245,136
福建省 厦门市 思明区,4,3
安徽省 宿州市 砀山县,2,2
湖南省 郴州市 桂阳县,1,1
河南省 驻马店市 遂平县,1,0
广东省 深圳市 宝安区,2,1
湖南省 长沙市 长沙县,7,5
云南省 保山市 腾冲县,1,0
浙江省 宁波市 慈溪市,2,2
黑龙江省 七台河市 桃山区,1,1
辽宁省 大连市 旅顺口区,1,1
广东省 肇庆市 鼎湖区,1,0
广东省 深圳市 龙岗区,4,1
广西壮族自治区 桂林市 灵川县,1,0
吉林省 延边朝鲜族自治州 珲春市,2,1
广东省 佛山市 顺德区,3,3
山东省 聊城市 阳谷县,1,0
湖北省 武汉市 硚口区,2,0
内蒙古自治区 呼和浩特市 赛罕区,1,0
湖北省 十堰市 茅箭区,3,1
山东省 临沂市 费县,1,1
内蒙古自治区 包头市 青山区,1,0
河南省 周口市 扶沟县,1,1
吉林省 长春市 农安县,1,0
江苏省 泰州市 兴化市,1,1
广东省 东莞市 大立学校,2,2
江苏省 徐州市 邳州市,1,0
陕西省 汉中市 勉县,1,0
山西省 临汾市 曲沃县,1,0
江苏省 宿迁市 泗洪县,1,0
未选择学校 暂无 暂无,1,0
黑龙江省 哈尔滨市 呼兰区,1,0
广东省 广州市 花都区,1,0
山西省 忻州市 五台县,6267,5423
山西省 吕梁市 孝义市,7053,6090
山西省 吕梁市 离石区,7693,6938
吉林省 吉林市 永吉县,6994,4294
河北省 邯郸市 经济开发区,11516,11150
河北省 邯郸市 涉县,5241,4888
贵州省 贵阳市 云岩区,652,458
河南省 焦作市 沁阳市,2892,2402
贵州省 黔南布依族苗族自治州 都匀市,10445,8788
福建省 福州市 鼓楼区,1951,1742
山西省 吕梁市 文水县,4077,3622
山西省 朔州市 右玉县,4424,3601
北京市 市辖区 东城区,2191,1896
安徽省 马鞍山市 花山区,719,364
山西省 长治市 潞城市,2439,2213
河南省 焦作市 山阳区,636,215
吉林省 延边朝鲜族自治州 敦化市,1823,1399
贵州省 黔南布依族苗族自治州 独山县,1211,1122
河南省 商丘市 民权县,3068,1553
湖北省 省直辖县级行政区划 天门市,3048,2717
吉林省 吉林市 桦甸市,3086,1887
山西省 太原市 小店区,1633,1106
河北省 石家庄市 藁城市,433,359
未选择学校,1808,121
黑龙江省 大庆市 肇源县,814,604
浙江省 湖州市 长兴县,1,1
湖北省 武汉市 汉阳区,1,1
湖南省 长沙市 雨花区,59,54
山东省 淄博市 周村区,1,1
黑龙江省 绥化市 安达市,42,37
吉林省 延边朝鲜族自治州 延吉市,72,34
四川省 乐山市 马边彝族自治县,8,8
广东省 广州市 番禺区,157,131
北京市 市辖区 朝阳区,52,16
四川省 广安市 岳池县,3,1
河南省 郑州市 荥阳市,21,7
山东省 济南市 章丘市,1,0
辽宁省 沈阳市 法库县,8,4
浙江省 温州市 瑞安市,1,0
湖南省 郴州市 资兴市,1,0
山西省 晋城市 高平市,1,0
重庆市 市辖区 渝中区,1,0
山东省 泰安市 肥城市,3,1
上海市 市辖区 徐汇区,9,2
辽宁省 辽阳市 宏伟区,1,1
湖南省 永州市 冷水滩区,4,1
浙江省 宁波市 海曙区,2,1
安徽省 淮北市 烈山区,1,0
河南省 信阳市 淮滨县,2,0
福建省 福州市 闽侯县,1,0
吉林省 长春市 九台市,1,1
河北省 保定市 高阳县,1,0
江西省 吉安市 永新县,1,1
湖南省 湘潭市 岳塘区,1,1
山西省 晋城市 阳城县,1,1
广西壮族自治区 梧州市 万秀区,1,0
山东省 济宁市 金乡县,1,0
黑龙江省 绥化市 北林区,1,0
山西省 朔州市 平鲁区,1,1
湖南省 邵阳市 隆回县,1,1
四川省 绵阳市 三台县,1,0
山东省 临沂市 沂南县,1,0
浙江省 金华市 义乌市,1,0
湖南省 永州市 宁远县,1,1
安徽省 六安市 寿县,1,0
四川省 乐山市 市中区,1,1
辽宁省 大连市 沙河口区,1,1
山西省 大同市 新荣区,1,1
湖南省 常德市 石门县,1,0
河北省 石家庄市 桥西区,3055,1733
山西省 吕梁市 交城县,6382,5576
吉林省 延吉市 延吉市,7953,5171
河北省 邯郸市 磁县,968,905
山西省 吕梁市 兴县,4054,3738
