ve,zc_n,hy_n
广西壮族自治区 百色市 右江区,59,55
河北省 石家庄市 辛集市,1267,976
山东省 青岛市 胶州市,10714,8442
河北省 邯郸市 冀南新区,7588,7312
贵州省 黔东南苗族侗族自治州 凯里市,5919,4590
山东省 聊城市 东阿县,9356,8921
湖北省 荆州市 松滋市,4301,3044
河南省 郑州市 郑东新区,1247,867
湖南省 郴州市 苏仙区,2265,1871
湖南省 湘潭市 雨湖区,980,949
山东省 青岛市 李沧区,4470,3176
山西省 太原市 古交市,969,598
河北省 保定市 涞水县,1033,541
河北省 承德市 围场满族蒙古族自治县,336,330
北京市 市辖区 海淀区,1283,865
江苏省 苏州市 吴中区,1730,1207
湖北省 武汉市 武昌区,242,194
河南省 郑州市 二七区,210,120
山西省 长治市 城区,146,100
山东省 潍坊市 市辖区,69,53
四川省 成都市 新都区,12,7
辽宁省 沈阳市 沈北新区,17,6
黑龙江省 大庆市 肇州县,1,0
安徽省 合肥市 瑶海区,59,24
安徽省 亳州市 谯城区,2,1
四川省 资阳市 乐至县,1,0
北京市 县 延庆县,3,0
北京市 市辖区 丰台区,6,3
浙江省 宁波市 江北区,2,0
广东省 广州市 白云区,3,0
内蒙古自治区 赤峰市 元宝山区,1,0
河南省 郑州市 惠济区,4,2
辽宁省 沈阳市 铁西区,1,0
湖南省 常德市 澧县,2,1
黑龙江省 牡丹江市 东安区,1,1
河北省 沧州市 孟村回族自治县,1,1
安徽省 宣城市 泾县,1,1
江苏省 南京市 江宁区,8,3
江苏省 常州市 武进区,1,0
江苏省 盐城市 射阳县,1,0
福建省 三明市 大田县,2,1
江西省 九江市 武宁县,1,1
江西省 抚州市 南城县,1,0
江苏省 扬州市 邗江区,1,0
黑龙江省 绥化市 明水县,1,1
吉林省 长春市 经开区,1,1
广东省 江门市 蓬江区,1,1
上海市 市辖区 松江区,1,0
江苏省 徐州市 泉山区,2,2
福建省 莆田市 荔城区,2,1
河南省周口市沈丘县享阅小学,1,0
江苏省 无锡市 滨湖区,1,1
湖北省 荆州市 江陵县,1,1
湖北省 荆门市 京山县,1,1
贵州省 贵阳市 南明区,1,0
贵州省 六盘水市 钟山区,1,0
内蒙古自治区 包头市 东河区,1,0
山西省 朔州市 朔城区,1,0
湖北省 恩施土家族苗族自治州 建始县,1,1
四川省 乐山市 犍为县,1,0
福建省 龙岩市 新罗区,1,1
云南省 红河哈尼族彝族自治州 建水县,1,1
河南省 商丘市 宁陵县,1,0
山东省 济宁市 梁山县,2,0
广东省 阳江市 江城区,1,0
江苏省 镇江市 句容市,1,0
河北省 邯郸市 邱县,3721,3554
河北省 邯郸市 临漳县,11892,11529
山东省 青岛市 城阳区,35943,29729
山西省 临汾市 尧都区,4559,3314
山东省 青岛市 黄岛区,4978,3927
山西省 吕梁市 石楼县,4033,3403
河北省 承德市 丰宁满族自治县,3350,3279
吉林省 通化市 集安市,3415,1960
河北省 邯郸市 曲周县,3934,3751
河南省 焦作市 武陟县,2282,1923
吉林省 松原市 宁江区,4291,2665
湖北省 荆州市 荆州区,1552,1210
吉林省 四平市 伊通满族自治县,4370,2542
山东省 烟台市 莱州市,325,321
湖北省 鄂州市 鄂城区,902,637
北京市 县 密云县,1252,1079
河南省 焦作市 市辖区,282,259
安徽省 合肥市 肥西县,45,41
黑龙江省 哈尔滨市 肇州县,29,24
河南省 南阳市 方城县,2,1
辽宁省 沈阳市 东陵区,294,0
山东省 枣庄市 山亭区,1,0
浙江省 宁波市 江东区,2,0
江西省 九江市 都昌县,1,1
陕西省 汉中市 汉台区,1,0
内蒙古自治区 乌兰察布市 集宁区,2,0
山东省 东营市 河口区,1,1
浙江省 宁波市 象山县,2,0
浙江省 温州市 鹿城区,1,0
江苏省 盐城市 亭湖区,1,0
新疆维吾尔自治区 巴音郭楞蒙古自治州 库尔勒市,1,0
江西省 南昌市 东湖区,2,1
湖北省 武汉市 黄陂区,1,1
江苏省 淮安市 涟水县,1,0
广东省 广州市 荔湾区,2,1
安徽省 蚌埠市 怀远县,1,0
四川省 成都市 金牛区,1,1
黑龙江省 黑河市 北安市,1,1
四川省 资阳市 雁江区,1,0
福建省 三明市 将乐县,1,0
河南省 周口市 项城市,1,1
黑龙江省 齐齐哈尔市 龙沙区,1,1
福建省 三明市 宁化县,1,1
云南省 大理白族自治州 祥云县,1,0
湖南省 株洲市 芦淞区,1,0
河南省 洛阳市 洛龙区,1,1
河北省 张家口市 桥东区,1,1
内蒙古自治区 通辽市 奈曼旗,1,1
湖南省 娄底市 冷水江市,1,0
四川省 成都市 温江区,1,1
湖南省 娄底市 涟源市,1,1
河南省 安阳市 滑县,1,0
安徽省 滁州市 天长市,1,0
内蒙古自治区 乌海市 海南区,1,1
四川省 宜宾市 筠连县,1,0
福建省 宁德市 蕉城区,1,1
湖北省 武汉市 蔡甸区,1,1
山东省 日照市 莒县,1,0
山东省 青岛市 即墨市,5076,4091
山西省 运城市 垣曲县,2739,1802
甘肃省 白银市 白银区,11772,9928
江苏省 徐州市 鼓楼区,1709,1287
湖南省 郴州市 宜章县,4458,3681
河南省 南阳市 宛城区,10476,7598
吉林省 辽源市 东丰县,1646,1228
河北省 承德市 宽城满族自治县,2116,2080
广西壮族自治区 河池市 大化瑶族自治县,1984,1576
河南省 南阳市 镇平县,1976,1938
山西省 吕梁市 中阳县,3504,3154
湖北省 武汉市 东西湖区,3183,2087
吉林省 白山市 靖宇县,2522,1666
河北省 石家庄市 栾城县,631,404
河北省 石家庄市 新华区,2221,1203
江西省 宜春市 上高县,52,38
河北省 承德市 双滦区,325,320
河北省 承德市 隆化县,290,286
湖北省 孝感市 大悟县,928,555
河南省 安阳市 文峰区,54,52
浙江省 丽水市 松阳县,355,284
浙江省 杭州市 拱墅区,193,152
辽宁省 大连市 甘井子区,480,312
广西壮族自治区 南宁市 青秀区,2,1
内蒙古自治区 呼和浩特市 回民区,1,1
浙江省 金华市 东阳市,52,38
广西壮族自治区 桂林市 市辖区,7,3
湖北省 襄樊市 樊城区,2,1
吉林省 长春市 南关区,4,3
山西省 太原市 市辖区,2,2
四川省 成都市 成华区,44,27
河南省 濮阳市 市辖区,2,0
广东省 广州市 天河区,5,2
江苏省 泰州市 海陵区,1,0
浙江省 温州市 苍南县,1,1
安徽省 六安市 金安区,1,1
吉林省 延边朝鲜族自治州 和龙市,2,1
江苏省 连云港市 灌云县,1,0
广西壮族自治区 南宁市 西乡塘区,2,1
江西省 新余市 渝水区,2,2
河南省 焦作市 修武县,1,1
江西省 抚州市 乐安县,1,0
河南省 新乡市 原阳县,1,1
浙江省 温州市 乐清市,5,3
安徽省 淮南市 田家庵区,2,1
山东省 滨州市 邹平县,3,1
山东省 烟台市 莱阳市,1,0
河南省 新乡市 红旗区,1,1
黑龙江省 齐齐哈尔市 富拉尔基区,2,1
湖南省 张家界市 永定区,1,1
湖北省 孝感市 安陆市,1,0
湖北省 黄石市 下陆区,1,1
内蒙古自治区 赤峰市 松山区,2,1
福建省 福州市 平潭县,1,0
山西省 忻州市 代县,1,1
江苏省 常州市 天宁区,1,1
四川省 德阳市 旌阳区,1,0
四川省 乐山市 五通桥区,1,0
黑龙江省 黑河市 嫩江县,1,0
四川省 南充市 南部县,1,0
山西省 太原市 晋源区,1,1
福建省 宁德市 柘荣县,1,0
北京市 市辖区 门头沟区,1,0
吉林省 吉林市 龙潭区,3297,1792
湖南省 郴州市 北湖区,12185,10006
河北省 邯郸市 馆陶县,11291,10368
山东省 聊城市 冠县,3553,3421
河北省 邯郸市 肥乡县,5120,4990
湖南省 长沙市 天心区,1143,853
甘肃省 定西市 临洮县,16671,12721
山东省 青岛市 平度市,7565,6329
吉林省 延吉市 安图县,2399,1726
江苏省 南京市 雨花台区,1576,1333
湖北省 武汉市 江夏区,4166,3419
吉林省 延吉市 珲春市,3985,2916
河南省 南阳市 邓州市,6649,4635
河北省 邯郸市 永年县,2799,2769
河北省 保定市 南市区,1049,872
吉林省 松原市 松原市油田,2030,1564
吉林省 延吉市 图们市,1279,829
吉林省 延边朝鲜族自治州 长白山管委会,640,506
黑龙江省 佳木斯市 富锦市,160,137
河北省 承德市 鹰手营子矿区,107,102
河南省 南阳市 南召县,32,31
江苏省 无锡市 新吴区,207,149
安徽省 合肥市 庐阳区,750,549
江西省 景德镇市 乐平市,1,1
山西省 太原市 万柏林区,53,41
山东省 淄博市 张店区,4,3
浙江省 嘉兴市 南湖区,33,21
浙江省 温州市 永嘉县,9,8
河北省 衡水市 桃城区,93,40
湖南省 湘潭市 湘潭县,3,2
重庆市 市辖区 沙坪坝区,47,15
陕西省 西安市 雁塔区,3,0
辽宁省 铁岭市 调兵山市,1,0
辽宁省 沈阳市 新民市,85,1
辽宁省 抚顺市 望花区,6,2
浙江省 杭州市 西湖区,5,3
福建省 三明市 梅列区,1,1
天津市 县 静海县,1,1
云南省 西双版纳傣族自治州 勐海县,1,0
上海市 市辖区 黄浦区,5,2
山东省 潍坊市 诸城市,2,1
河北省 承德市 滦平县,2,2
广东省 韶关市 翁源县,1,1
重庆市 市辖区 渝北区,6,4
四川省 成都市 双流县,1,0
福建省 厦门市 湖里区,1,0
上海市 市辖区 宝山区,1,0
山西省 晋中市 榆社县,1,1
江西省 宜春市 丰城市,1,1
重庆市 市辖区 九龙坡区,1,1
山东省 德州市 乐陵市,1,1
河北省 保定市 安国市,7,3
湖南省 湘潭市 湘乡市,1,1
湖北省 荆州市 洪湖市,1,1
河南省 鹤壁市 山城区,1,0
湖南省 长沙市 浏阳市,3,2
广西壮族自治区 桂林市 七星区,2,0
广东省东莞市大立学校,1,0
广东省 肇庆市 怀集县,1,0
宁夏回族自治区 中卫市 沙坡头区,4,4
天津市 市辖区 宝坻区,2,2
安徽省 六安市 霍邱县,1,1
广西壮族自治区 崇左市 江洲区,1,0
河南省 三门峡市 陕县,1,0
湖南省 永州市 祁阳县,1,0
陕西省 榆林市 榆阳区,1,1
吉林省 长春市 二道区,2,1
黑龙江省 哈尔滨市 巴彦县,1,1
湖南省 娄底市 双峰县,1,1
内蒙古自治区 包头市 土默特右旗,1,0
浙江省 台州市 路桥区,1,0
广西壮族自治区 桂林市 恭城瑶族自治县,1,0
湖南省 常德市 鼎城区,1,0
山西省 大同市 南郊区,1,1
内蒙古自治区 赤峰市 敖汉旗,1,1
江西省 吉安市 永丰县,1,0
河北省 邯郸市 魏县,12640,12032
河北省 邯郸市 武安市,31112,27953
河南省 南阳市 市辖区,4846,3993
河北省 邯郸市 邯山区,15962,14730
吉林省 通化市 通化县,4547,3172
吉林省 白山市 临江市,1460,971
河北省 承德市 市辖区,697,673
山西省 吕梁市 汾阳市,10928,10135
吉林省 四平市 公主岭市,12365,9187
吉林省 长春市 榆树市,12684,10754
山西省 吕梁市 临县,1276,1211
山西省 太原市 尖草坪区,5494,3621
江苏省 南京市 玄武区,701,605
江苏省 徐州市 云龙区,701,514
吉林省 白山市 八道江区,1752,1304
江苏省 南通市 港闸区,493,380
江苏省 镇江市 扬中市,732,600
浙江省 宁波市 市辖区,42,41
安徽省 亳州市 利辛县,1,1
江苏省 镇江市 丹阳市,1,1
内蒙古自治区 巴彦淖尔市 五原县,2,1
北京市 海淀区,83,2
浙江省 台州市 临海市,4,1
山东省 菏泽市 牡丹区,1,0
null,8,2
浙江省 金华市 兰溪市,2,0
山西省 大同市 浑源县,1,1
福建省 漳州市 龙海市,1,0
广东省 佛山市 南海区,1,0
河南省 周口市 鹿邑县,3,1
山东省 临沂市 郯城县,1,0
湖北省 咸宁市 咸安区,1,0
江苏省 徐州市 新沂市,2,0
四川省 南充市 阆中市,1,0
四川省 成都市 青羊区,1,0
福建省 三明市 三元区,1,1
天津市 市辖区 津南区,1,1
辽宁省 大连市 中山区,1,0
湖南省 永州市 零陵区,2,0
江西省 赣州市 章贡区,1,0
黑龙江省 黑河市 爱辉区,1,1
四川省 达州市 通川区,1,1
江西省 上饶市 余干县,1,1
北京市 市辖区 昌平区,2,0
福建省 宁德市 福鼎市,2,1
江苏省 南通市 如皋市,2,0
河北省 邢台市 新河县,1,1
四川省 遂宁市 蓬溪县,1,1
辽宁省 丹东市 东港市,2,2
湖南省 衡阳市 常宁市,1,0
湖南省 岳阳市 君山区,1,1
安徽省 铜陵市 铜陵县,2,2
河北省 廊坊市 广阳区,1,0
广东省 惠州市 惠城区,1,0
山东省 临沂市 罗庄区,2,0
内蒙古自治区 赤峰市 克什克腾旗,1,1
安徽省 安庆市 宜秀区,1,1
河北省 唐山市 迁安市,1,1
河北省 沧州市 盐山县,1,0
河北省 保定市 唐县,1,0
湖北省 宜昌市 夷陵区,1,0
广西壮族自治区 北海市 海城区,2785,1316
山西省 吕梁市 柳林县,4484,3973
河北省 邯郸市 成安县,12262,11472
河北省 承德市 承德县,3529,2817
吉林省 四平市 双辽市,5940,3190
江苏省 无锡市 宜兴市,1719,1632
山西省 长治市 平顺县,1026,932
山西省 吕梁市 方山县,1977,1859
安徽省 合肥市 蜀山区,1076,707
吉林省 白城市 大安市,3440,2752
云南省 丽江市 古城区,824,529
湖北省 荆州市 监利县,1020,744
浙江省 衢州市 江山市,1948,887
河南省 郑州市 上街区,1131,677
河北省 衡水市 故城县,298,189
河南省 郑州市 金水区,152,121
安徽省 马鞍山市 雨山区,89,36
广东省 广州市 海珠区,4,2
河北省 唐山市 滦县,2,0
福建省 泉州市 晋江市,2,1
安徽省 安庆市 宿松县,1,0
河北省 保定市 清苑县,4,1
河北省 唐山市 路北区,3,0
江苏省 无锡市 北塘区,3,3
辽宁省 抚顺市 新抚区,4,3
江苏省 常州市 新北区,2,2
湖北省 武汉市 江岸区,3,1
安徽省 阜阳市 颍上县,1,0
山东省 淄博市 市辖区,2,0
河南省 周口市 商水县,1,1
四川省 成都市 郫县,1,1
湖南省 常德市 汉寿县,1,0
北京市 市辖区 石景山区,3,2
广东省 茂名市 茂南区,3,2
辽宁省 沈阳市 大东区,1,1
湖北省 武汉市 青山区,1,1
江苏省 泰州市 靖江市,1,1
黑龙江省 齐齐哈尔市 建华区,1,0
吉林省 延边朝鲜族自治州 安图县,3,1
湖南省 郴州市 临武县,1,1
河南省 开封市 杞县,1,1
贵州省 黔西南布依族苗族自治州 贞丰县,1,1
山西省 临汾市 洪洞县,1,1
湖北省 黄冈市 红安县,1,0
湖南省 怀化市 辰溪县,1,0
广东省 惠州市 惠东县,1,0
上海市 市辖区 嘉定区,1,0
安徽省 阜阳市 界首市,1,1
河南省 洛阳市 偃师市,1,1
四川省 内江市 资中县,1,1
天津市 市辖区 红桥区,1,1
辽宁省 抚顺市 抚顺县,1,0
湖北省 咸宁市 嘉鱼县,1,0
安徽省 铜陵市 铜官山区,1,1
河北省 廊坊市 香河县,1,1
江苏省 徐州市 睢宁县,1,1
陕西省 咸阳市 礼泉县,1,0
江西省 南昌市 西湖区,1,0
河南省 郑州市 中牟县,1,1
河南省 开封市 尉氏县,1,1
辽宁省 朝阳市 建平县,1,1
四川省 泸州市 泸县,1,1
江西省 上饶市 信州区,1,1
山东省 济宁市 汶上县,1,0
湖南省 邵阳市 绥宁县,1,0
山东省 临沂市 兰山区,1,0
